text,label
A former employee confirm shocking rumors about the moon landing that will change everything you thought you knew. Share this before it gets DELETED by the censors!!!,FAKE
The bureau of labor statistics published findings on housing affordability in a peer-reviewed study. The announcement followed weeks of internal review and stakeholder consultation.,REAL
"Sources close to the matter claim that the vaccine rollout was engineered as part of a hidden agenda. They don't want you to know this, but now you do.",FAKE
Shocking new evidence prove that officials have been hiding the truth about celebrity deaths for years. This article is being suppressed across every major platform.,FAKE
The world health organization held a press conference to clarify regulations concerning interest rates. A full report will be made available on the agency's official website.,REAL
"The ministry of finance announced new policy measures on public health funding following a quarterly review. The decision is expected to take effect next quarter, according to spokespeople.",REAL
The world health organization voted to amend existing guidelines related to trade tariffs. Officials said further details would be released in the coming weeks.,REAL
Sources close to the matter show undeniable proof that the upcoming pandemic is a complete hoax. The mainstream media will NEVER tell you this.,FAKE
"A viral video show undeniable proof that 5G networks is a complete hoax. Wake up, people — this is bigger than anyone could imagine.",FAKE
An unnamed whistleblower reveal that the water supply is being secretly controlled by global elites. Do your own research and you'll see the TRUTH for yourself.,FAKE
Leaked documents claim that secret chemical trails was engineered as part of a hidden agenda. Do your own research and you'll see the TRUTH for yourself.,FAKE
A doctor who wishes to remain anonymous show undeniable proof that the weather control program is a complete hoax. The mainstream media will NEVER tell you this.,FAKE
Shocking new evidence prove that officials have been hiding the truth about the moon landing for years. This article is being suppressed across every major platform.,FAKE
An unnamed whistleblower claim that the water supply was engineered as part of a hidden agenda. This article is being suppressed across every major platform.,FAKE
Local election officials approved a budget allocation for data privacy regulations after a unanimous vote. Independent analysts said the move was consistent with prior policy trends.,REAL
Local election officials issued a statement addressing public concerns about education budgets. A full report will be made available on the agency's official website.,REAL
"A former employee reveal that 5G networks is being secretly controlled by global elites. Wake up, people — this is bigger than anyone could imagine.",FAKE
"A viral video reveal that the upcoming pandemic is being secretly controlled by global elites. Wake up, people — this is bigger than anyone could imagine.",FAKE
The european central bank approved a budget allocation for data privacy regulations after a unanimous vote. The announcement followed weeks of internal review and stakeholder consultation.,REAL
The european central bank issued a statement addressing public concerns about housing affordability. The announcement followed weeks of internal review and stakeholder consultation.,REAL
The state legislature released a report on education budgets based on data collected over the past year. A full report will be made available on the agency's official website.,REAL
A banned report expose a massive cover-up involving the election results that the mainstream media refuses to report. The mainstream media will NEVER tell you this.,FAKE
"A banned report warn that the new world order is part of a dangerous conspiracy nobody is talking about. They don't want you to know this, but now you do.",FAKE
A viral video show undeniable proof that the water supply is a complete hoax. Share this before it gets DELETED by the censors!!!,FAKE
Nasa held a press conference to clarify regulations concerning interest rates. Critics and supporters alike were invited to submit public comments.,REAL
A secret government memo warn that celebrity deaths is part of a dangerous conspiracy nobody is talking about. Do your own research and you'll see the TRUTH for yourself.,FAKE
The world trade organization approved a budget allocation for housing affordability after a unanimous vote. Critics and supporters alike were invited to submit public comments.,REAL
"The state legislature approved a budget allocation for education budgets after a unanimous vote. The decision is expected to take effect next quarter, according to spokespeople.",REAL
The united nations security council published findings on climate policy in a peer-reviewed study. A full report will be made available on the agency's official website.,REAL
The world health organization issued a statement addressing public concerns about education budgets. Independent analysts said the move was consistent with prior policy trends.,REAL
